L,rate
1.74,371348.231261806
1.75,371321.557651194
1.76,371294.88149319
1.77,371268.202783475
1.78,371241.521517878
1.79,371214.837695445
1.8,371188.151312121
1.81,371161.462361442
1.82,371134.770845122
1.83,371108.07675517
1.84,371081.380092323
1.85,371054.680847104
1.86,371027.979022075
1.87,371001.274609807
1.88,370974.567608455
1.89,370947.858015287
1.9,370921.145825842
1.91,370894.431036175
1.92,370867.71364336
1.93,370840.993643841
1.94,370814.271032425
1.95,370787.545810901
1.96,370760.817970918
1.97,370734.087508582
1.98,370707.354424838
1.99,370680.618713533
2,370653.880370745
2.01,370627.139392849
2.02,370600.395778035
2.03,370573.649523194
2.04,370546.90062125
2.05,370520.149072341
2.06,370493.394871373
2.07,370466.63801602
2.08,370439.878502815
2.09,370413.116326865
2.1,370386.351483088
2.11,370359.58397382
2.12,370332.81379142
2.13,370306.040933661
2.14,370279.265396401
2.15,370252.487175557
2.16,370225.706270618
2.17,370198.922673992
2.18,370172.136386607
2.19,370145.347403203
2.2,370118.555718205
2.21,370091.761331182
2.22,370064.964237174
2.23,370038.164432726
2.24,370011.361914358
2.25,369984.556681027
2.26,369957.748724642
2.27,369930.938045815
2.28,369904.124640956
2.29,369877.30850461
2.3,369850.489634125
2.31,369823.668026122
2.32,369796.843676644
2.33,365847.646905232
2.34,365821.091978869
2.35,365794.534335844
2.36,365767.973973232
2.37,365741.410885776
2.38,365714.845071846
2.39,365688.276526596
2.4,365661.705249727
2.41,365635.131236334
2.42,365608.554478824
2.43,365581.974983393
2.44,365555.39272919
2.45,365528.807736646
2.46,365502.219989278
2.47,365475.629476451
2.48,365449.036206014
2.49,365422.440177215
2.5,365395.841373644
2.51,365369.239801871
2.52,365342.635457129
2.53,365316.028333871
2.54,365289.41842882
2.55,365262.805746913
2.56,365236.190268209
2.57,365209.572001176
2.58,365182.950939628
2.59,365156.327082642
2.6,365129.700422377
2.61,365103.070958576
2.62,365076.438691211
2.63,365049.803607608
2.64,365023.165710054
2.65,364996.524999059
2.66,364969.881462263
2.67,364943.235103944
2.68,364916.585918279
2.69,364889.933895071
2.7,364863.279044498
2.71,364836.621357329
2.72,364809.960822524
2.73,364783.297448252
2.74,364756.631222969
2.75,364729.962148746
2.76,364703.290220826
2.77,364676.615435713
2.78,364649.937788285
2.79,364623.257275546
2.8,364596.573895288
2.81,364569.887646605
2.82,364543.198521641
2.83,364516.506521495
2.84,364489.81163732
2.85,364463.113868517
2.86,364436.413215432
2.87,364409.709665582
2.88,364383.003224037
2.89,364356.293891402
2.9,364329.581648459
2.91,364302.866507267
2.92,364276.148455253
2.93,364249.427496277
2.94,364222.70361748
2.95,364195.97682908
2.96,364169.24711093
2.97,364142.514475999
2.98,364115.778910399
2.99,364089.04041475
3,364062.298986656
3.01,364035.554622892
3.02,364008.807314363
3.03,363982.057060564
3.04,363955.303865357
3.05,363928.547716573
3.06,363901.788614925
3.07,363875.026556074
3.08,363848.261537196
3.09,363821.493552912
3.1,363794.722605728
3.11,363767.948684295
3.12,363741.171794185
3.13,363714.391921095
3.14,363687.60907343
3.15,363660.823241121
3.16,363634.034420252
3.17,363607.242611902
3.18,363580.447807798
3.19,363553.650012508
3.2,363526.849211021
3.21,363500.045409175
3.22,363473.238600093
3.23,363446.428784788
3.24,363419.61595459
3.25,363392.800111919
3.26,363365.98124353
3.27,363339.159357628
3.28,363312.334446132
3.29,363285.506501874
3.3,363258.675527764
3.31,363231.84151631
3.32,363205.00446876
3.33,363178.164378191
3.34,363151.321243071
3.35,363124.475055489
3.36,363097.625818767
3.37,363070.773527128
3.38,363043.918176805
3.39,363017.059767168
3.4,362990.198288832
3.41,362963.333739058
3.42,362936.466127705
3.43,362909.595436698
3.44,362882.721665364
3.45,362855.844811567
3.46,362828.964882418
3.47,362802.081857831
3.48,362775.195745147
3.49,362748.306540777
3.5,362721.414236003
3.51,362694.518830581
3.52,362667.620317549
3.53,362640.718706522
3.54,362613.81397797
3.55,362586.906140203
3.56,362559.995184387
3.57,362533.081104566
3.58,362506.16390838
3.59,362479.243583519
3.6,362452.320125757
3.61,362425.393541438
3.62,362398.463814188
3.63,362371.530953197
3.64,362344.594943907
3.65,362317.65579466
3.66,362290.713498386
3.67,362263.768037972
3.68,362236.819436282
3.69,362209.867665768
3.7,362182.912739838
3.71,362155.954647454
3.72,362128.993386791
3.73,362102.028951031
3.74,362075.061341878
3.75,362048.090556318
3.76,362021.116591218
3.77,361994.139435001
3.78,361967.159101243
3.79,361940.175575163
3.8,361913.188854389
3.81,361886.198933047
3.82,361859.205810008
3.83,361832.209490424
3.84,361805.209958155
3.85,361778.207216087
3.86,361751.201262531
3.87,361724.192095435
3.88,361697.179709593
3.89,361670.164095508
3.9,361643.145261149
3.91,361616.12319307
3.92,361589.097896284
3.93,361562.069364149
3.94,361535.037588258
3.95,361508.002575083
3.96,361480.964317466
3.97,361453.922812696
3.98,361426.878053757
3.99,361399.83004162
4,361372.778774165
4.01,361345.724243169
4.02,361318.66645053
4.03,361291.605388015
4.04,361264.541053904
4.05,361237.473450175
4.06,361210.402568105
4.07,361183.328407234
4.08,361156.250963414
4.09,361129.170235004
4.1,361102.086212962
4.11,361074.998900515
4.12,361047.908291357
4.13,361020.814388436
4.14,360993.71717933
4.15,360966.616666304
4.16,360939.512843717
4.17,360912.405712906
4.18,360885.295265325
4.19,360858.181499784
4.2,360831.064414543
4.21,360803.944002145
4.22,360776.820265229
4.23,360749.693202225
4.24,360722.562802868
4.25,360695.429063125
4.26,360668.291988899
4.27,360641.151572543
4.28,360614.007803219
4.29,360586.860687894
4.3,360559.710222973
4.31,360532.556398478
4.32,360505.399220383
4.33,360478.238676749
4.34,360451.07477364
4.35,360423.907494959
4.36,360396.736853216
4.37,360369.562833399
4.38,360342.385435342
4.39,360315.204657564
4.4,360288.020496703
4.41,360260.832952853
4.42,360233.642014695
4.43,360206.447684182
4.44,360179.249959387
4.45,360152.048830782
4.46,360124.844304435
4.47,360097.63637453
4.48,360070.425032111
4.49,360043.21028175
4.5,360015.992114188
4.51,359988.770525608
4.52,359961.545519417
4.53,359934.317091101
4.54,359907.085234465
4.55,359879.849944906
4.56,359852.611227941
4.57,359825.369069803
4.58,359798.123474957
4.59,359770.874436242
4.6,359743.621950403
4.61,359716.366015536
4.62,359689.106634016
4.63,359661.843793764
4.64,359634.577496331
4.65,359607.307738385
4.66,359580.034508439
4.67,359552.757816167
4.68,359525.477655246
4.69,359498.194023665
4.7,359470.906911181
4.71,359443.616318379
4.72,359416.322249683
4.73,359389.024685621
4.74,359361.723640886
4.75,359334.419092423
4.76,359307.111059444
4.77,359279.799525574
4.78,359252.484490343
4.79,359225.165947424
4.8,359197.843902072
4.81,359170.518342772
4.82,359143.189275049
4.83,359115.856687902
4.84,359088.520577306
4.85,359061.180950579
4.86,359033.83779255
4.87,359006.491108093
4.88,358979.14089202
4.89,358951.787141101
4.9,358924.429852673
4.91,358897.069022602
4.92,358869.704645512
4.93,358842.336723351
4.94,358814.965253762
4.95,358787.590227333
4.96,358760.211643086
4.97,358732.829502203
4.98,358705.443798744
4.99,358678.054529806
5,358650.661692271
5.01,358623.265280701
5.02,358595.865297491
5.03,358568.461738395
5.04,358541.054595184
5.05,358513.643871703
5.06,358486.229556675
5.07,358458.811655996
5.08,358431.390160659
5.09,358403.965064014
5.1,358376.536376298
5.11,358349.104082387
5.12,358321.668186402
5.13,358294.22868179
5.14,358266.785567354
5.15,358239.338832601
5.16,358211.888484909
5.17,358184.434515544
5.18,358156.97692612
5.19,358129.515710411
5.2,358102.050866592
5.21,358074.582386008
5.22,358047.110274015
5.23,358019.634522613
5.24,357992.155130811
5.25,357964.672094414
5.26,357937.185405427
5.27,357909.695071148
5.28,357882.201080334
5.29,357854.70343511
5.3,357827.202134709
5.31,357799.697167983
5.32,357772.188532121
5.33,357744.676233473
5.34,357717.160265316
5.35,357689.640618806
5.36,357662.117298471
5.37,357634.590292498
5.38,357607.059607775
5.39,357579.52523123
5.4,357551.9871729
5.41,357524.445419565
5.42,357496.89997054
5.43,357469.350823498
5.44,357441.797969698
5.45,357414.241419006
5.46,357386.68115792
5.47,357359.11718647
5.48,357331.549504668
5.49,357303.978100185
5.5,357276.4029827
5.51,357248.824139394
5.52,357221.241571912
5.53,357193.655277224
5.54,357166.065252307
5.55,357138.471496683
5.56,357110.873995992
5.57,357083.272757516
5.58,357055.667775028
5.59,357028.059054815
5.6,357000.446580509
5.61,356972.830349295
5.62,356945.210367116
5.63,356917.586629516
5.64,356889.959129862
5.65,356862.327863692
5.66,356834.692833996
5.67,356807.05403215
5.68,356779.411461785
5.69,356751.765113116
5.7,356724.114987567
5.71,356696.461073536
5.72,356668.803382959
5.73,356641.141904105
5.74,356613.476631651
5.75,356585.80757039
5.76,356558.13471181
5.77,356530.458050281
5.78,356502.77758905
5.79,356475.093326716
5.8,356447.405250738
5.81,356419.71336254
5.82,356392.017664207
5.83,356364.31815211
5.84,356336.614815501
5.85,356308.907654714
5.86,356281.196674164
5.87,356253.481858937
5.88,356225.763220962
5.89,356198.040739004
5.9,356170.314424542
5.91,356142.584267906
5.92,356114.850268021
5.93,356087.112425001
5.94,356059.370731899
5.95,356031.625183341
5.96,356003.875784932
5.97,355976.122526624
5.98,355948.365406029
5.99,355920.604425031
6,355892.839573041
6.01,355865.070857945
6.02,355837.298268395
6.03,355809.521800405
6.04,355781.741456764
6.05,355753.957229851
6.06,355726.169124124
6.07,355698.377124538
6.08,355670.581241335
6.09,355642.781459989
6.1,355614.97778378
6.11,355587.170216105
6.12,355559.358740358
6.13,355531.543358783
6.14,355503.724075387
6.15,355475.900880869
6.16,355448.073772699
6.17,355420.242748186
6.18,355392.407802485
6.19,355364.568937
6.2,355336.726152625
6.21,355308.879430832
6.22,355281.028788475
6.23,355253.174207614
6.24,355225.315691059
6.25,355197.453233904
6.26,355169.586840605
6.27,355141.716499054
6.28,355113.842211743
6.29,355085.963974752
6.3,355058.081778371
6.31,355030.195629793
6.32,355002.305521206
6.33,354974.411448865
6.34,354946.513416047
6.35,354918.611412463
6.36,354890.705442208
6.37,354862.795495176
6.38,354834.881574803
6.39,354806.963670848
6.4,354779.041786564
6.41,354751.115921472
6.42,354723.186062004
6.43,354695.252217699
6.44,354667.314376607
6.45,354639.372542868
6.46,354611.426705756
6.47,354583.476869697
6.48,354555.523026035
6.49,354527.565174216
6.5,354499.603316908
6.51,354471.637444445
6.52,354443.667553906
6.53,354415.693643086
6.54,354387.71571492
6.55,354359.733756984
6.56,354331.747772419
6.57,354303.757758906
6.58,354275.763716355
6.59,354247.76563164
6.6,354219.763512846
6.61,354191.757348012
6.62,354163.747139192
6.63,354135.732885707
6.64,354107.71457934
6.65,354079.692221401
6.66,354051.665804517
6.67,354023.635334481
6.68,353995.600796919
6.69,353967.56220106
6.7,353939.519535111
6.71,353911.472800294
6.72,353883.421990275
6.73,353855.367105052
6.74,353827.308143591
6.75,353799.245097373
6.76,353771.177972432
6.77,353743.106758743
6.78,353715.031452983
6.79,353686.952055038
6.8,353658.868564453
6.81,353630.780976078
6.82,353602.689281427
6.83,353574.593489289
6.84,353546.493586299
6.85,353518.389572926
6.86,353490.281452244
6.87,353462.169213279
6.88,353434.052860647
6.89,353405.932383179
6.9,353377.807787305
6.91,353349.679062854
6.92,353321.546206578
6.93,353293.409225193
6.94,353265.268101712
6.95,353237.122849742
6.96,353208.973450067
6.97,353180.819912584
6.98,353152.662226612
6.99,353124.500392281
7,353096.334406408
7.01,353068.164269971
7.02,353039.989976446
7.03,353011.811522359
7.04,352983.628904149
7.05,352955.442124555
7.06,352927.251174533
7.07,352899.056053959
7.08,352870.856761161
7.09,352842.653290376
7.1,352814.445645931
7.11,352786.233814792
7.12,352758.017801442
7.13,352729.797599872
7.14,352701.573210151
7.15,352673.344628458
7.16,352645.111849037
7.17,352616.874872786
7.18,352588.633696325
7.19,352560.388315333
7.2,352532.138730375
7.21,352503.884930268
7.22,352475.626922444
7.23,352447.364698756
7.24,352419.09825747
7.25,352390.827597737
7.26,352362.55271331
7.27,352334.273607674
7.28,352305.990268618
7.29,352277.702700996
7.3,352249.410896434
7.31,352221.114858602
7.32,352192.814581585
7.33,352164.510060224
7.34,352136.201296538
7.35,352107.888289866
7.36,352079.571022532
7.37,352051.249509057
7.38,352022.923736388
7.39,351994.593710005
7.4,351966.259418999
7.41,351937.920865248
7.42,351909.578045457
7.43,351881.230958518
7.44,351852.879594726
7.45,351824.523958034
7.46,351796.164044793
7.47,351767.799849787
7.48,351739.431374441
7.49,351711.05861287
7.5,351682.681562152
7.51,351654.300218456
7.52,351625.914587165
7.53,351597.524652926
7.54,351569.130424616
7.55,351540.73189359
7.56,351512.32905399
7.57,351483.921913481
7.58,351455.510454937
7.59,351427.094692288
7.6,351398.674614837
7.61,351370.25021428
7.62,351341.821493214
7.63,351313.388450026
7.64,351284.951081751
7.65,351256.509384772
7.66,351228.063354149
7.67,351199.612991919
7.68,351171.158290155
7.69,351142.699253611
7.7,351114.235871554
7.71,351085.768145833
7.72,351057.296071518
7.73,351028.819649422
7.74,351000.338872834
7.75,350971.853740572
7.76,350943.364250432
7.77,350914.870397547
7.78,350886.372187271
7.79,350857.869605669
7.8,350829.362651852
7.81,350800.851333626
7.82,350772.335639148
7.83,350743.815569152
7.84,350715.291112847
7.85,350686.762285419
7.86,350658.229064776
7.87,350629.69146198
7.88,350601.149464895
7.89,350572.603071889
7.9,350544.052290638
7.91,350515.497109666
7.92,350486.937523841
7.93,350458.373540745
7.94,350429.805145752
7.95,350401.232346997
7.96,350372.655135056
7.97,350344.073510524
7.98,350315.48746641
7.99,350286.89700542
8,350258.302120708
8.01,350229.70281484
8.02,350201.099079316
8.03,350172.490915555
8.04,350143.878315413
8.05,350115.261284394
8.06,350086.639814801
8.07,350058.013902519
8.08,350029.383550212
8.09,350000.748752195
8.1,349972.109505672
8.11,349943.465810319
8.12,349914.817658719
8.13,349886.165053589
8.14,349857.507985376
8.15,349828.846458735
8.16,349800.180465671
8.17,349771.51000956
8.18,349742.835083499
8.19,349714.155686473
8.2,349685.471816687
8.21,349656.783468164
8.22,349628.090634613
8.23,349599.393328415
8.24,349570.691531521
8.25,349541.985248183
8.26,349513.274478756
8.27,349484.559213418
8.28,349455.839451005
8.29,349427.115192966
8.3,349398.386436304
8.31,349369.653176654
8.32,349340.915408555
8.33,349312.173133456
8.34,349283.426347458
8.35,349254.675049828
8.36,349225.919236108
8.37,349197.158902119
8.38,349168.39404863
8.39,349139.624668526
8.4,349110.850767976
8.41,349082.07233548
8.42,349053.28937521
8.43,349024.501873688
8.44,348995.709838808
8.45,348966.913266665
8.46,348938.112149537
8.47,348909.306494831
8.48,348880.49628834
8.49,348851.681531762
8.5,348822.862225811
8.51,348794.038365083
8.52,348765.209948311
8.53,348736.37696766
8.54,348707.539429618
8.55,348678.697326757
8.56,348649.850650685
8.57,348620.999415106
8.58,348592.143596875
8.59,348563.283209574
8.6,348534.418240079
8.61,348505.548696865
8.62,348476.674565732
8.63,348447.795853875
8.64,348418.912551675
8.65,348390.024656296
8.66,348361.132174404
8.67,348332.235095081
8.68,348303.333418114
8.69,348274.427137909
8.7,348245.516256181
8.71,348216.600771611
8.72,348187.680674454
8.73,348158.755970041
8.74,348129.826653189
8.75,348100.892719829
8.76,348071.954168023
8.77,348043.01099641
8.78,348014.063203084
8.79,347985.110781176
8.8,347956.153734518
8.81,347927.192053855
8.82,347898.225738147
8.83,347869.254787429
8.84,347840.279203624
8.85,347811.298974669
8.86,347782.314103203
8.87,347753.324588321
8.88,347724.330419808
8.89,347695.331606228
8.9,347666.328137301
8.91,347637.320012619
8.92,347608.307230872
8.93,347579.28978434
8.94,347550.267677707
8.95,347521.240906172
8.96,347492.209463357
8.97,347463.173349757
8.98,347434.13256559
8.99,347405.087103451
9,347376.03696381
9.01,347346.9821453
9.02,347317.922640671
9.03,347288.858451909
9.04,347259.789575443
9.05,347230.716004062
9.06,347201.637743031
9.07,347172.554787528
9.08,347143.467131359
9.09,347114.374776733
9.1,347085.277717061
9.11,347056.175950201
9.12,347027.0694753
9.13,346997.958292954
9.14,346968.842394389
9.15,346939.721784583
9.16,346910.596457461
9.17,346881.466404029
9.18,346852.331631995
9.19,346823.192132279
9.2,346794.047907738
9.21,346764.898951371
9.22,346735.74526298
9.23,346706.586837183
9.24,346677.423675142
9.25,346648.255770391
9.26,346619.083127573
9.27,346589.905738964
9.28,346560.723603161
9.29,346531.53671433
9.3,346502.34507375
9.31,346473.148676315
9.32,346443.947529239
9.33,346414.741620034
9.34,346385.530942878
9.35,346356.315507148
9.36,346327.095300431
9.37,346297.870327789
9.38,346268.640580292
9.39,346239.406060014
9.4,346210.166762019
9.41,346180.922687179
9.42,346151.673827099
9.43,346122.420186908
9.44,346093.16175711
9.45,346063.89854234
9.46,346034.630532567
9.47,346005.357730279
9.48,345976.080132461
9.49,345946.797733095
9.5,345917.510536733
9.51,345888.21853567
9.52,345858.921729256
9.53,345829.620112697
9.54,345800.313684045
9.55,345771.00244948
9.56,345741.686391191
9.57,345712.365525507
9.58,345683.039828686
9.59,345653.709313633
9.6,345624.373973716
9.61,345595.033806789
9.62,345565.688811356
9.63,345536.338978457
9.64,345506.984315142
9.65,345477.624811474
9.66,345448.260471476
9.67,345418.891290857
9.68,345389.517260797
9.69,345360.13838886
9.7,345330.754666909
9.71,345301.366094051
9.72,345271.972663889
9.73,345242.574380745
9.74,345213.171237272
9.75,345183.76323591
9.76,345154.35036756
9.77,345124.932634807
9.78,345095.51003525
9.79,345066.082564018
9.8,345036.650222316
9.81,345007.21300289
9.82,344977.770912033
9.83,344948.32393392
9.84,344918.872072901
9.85,344889.415334695
9.86,344859.953702187
9.87,344830.487181748
9.88,344801.015771939
9.89,344771.53946787
9.9,344742.058269301
9.91,344712.572168604
9.92,344683.081169598
9.93,344653.585261681
9.94,344624.084450629
9.95,344594.578731998
9.96,344565.068104886
9.97,344535.552563668
9.98,344506.032105397
9.99,344476.506734447
10,344446.976435613
10.01,344417.441224321
10.02,344387.90107894
10.03,344358.356010336
10.04,344328.806017465
10.05,344299.251089077
10.06,344269.691223175
10.07,344240.126427926
10.08,344210.556689437
10.09,344180.982010572
10.1,344151.402390633
10.11,344121.81782392
10.12,344092.228307634
10.13,344062.633843117
10.14,344033.0344263
10.15,344003.430057295
10.16,343973.820724304
10.17,343944.2064384
10.18,343914.587186105
10.19,343884.962970316
10.2,343855.333791966
10.21,343825.69964332
10.22,343796.060521247
10.23,343766.416428696
10.24,343736.767359404
10.25,343707.113315942
10.26,343677.454285684
10.27,343647.790276078
10.28,343618.121281703
10.29,343588.447299854
10.3,343558.768332201
10.31,343529.084368411
10.32,343499.395410614
10.33,343469.701457829
10.34,343440.002506856
10.35,343410.298553756
10.36,343380.589603956
10.37,343350.875640236
10.38,343321.156669576
10.39,343291.432694824
10.4,343261.703704028
10.41,343231.96970087
10.42,343202.230679636
10.43,343172.486638539
10.44,343142.737573495
10.45,343112.983489696
10.46,343083.224379802
10.47,343053.460240298
10.48,343023.691071396
10.49,342993.916866383
10.5,342964.137632291
10.51,342934.35335487
10.52,342904.564044394
10.53,342874.769687399
10.54,342844.970288057
10.55,342815.165840112
10.56,342785.3563485
10.57,342755.54180328
10.58,342725.722206674
10.59,342695.897555435
10.6,342666.067842291
10.61,342636.233070225
10.62,342606.393241421
10.63,342576.548347361
10.64,342546.698381999
10.65,342516.843349595
10.66,342486.983248899
10.67,342457.118072365
10.68,342427.24782518
10.69,342397.372498318
10.7,342367.492090806
10.71,342337.606599119
10.72,342307.716028112
10.73,342277.820363053
10.74,342247.919614241
10.75,342218.013772514
10.76,342188.102839717
10.77,342158.186809662
10.78,342128.265684588
10.79,342098.339458377
10.8,342068.408129358
10.81,342038.471700314
10.82,342008.530159654
10.83,341978.583510964
10.84,341948.631753204
10.85,341918.674879711
10.86,341888.712890672
10.87,341858.745786437
10.88,341828.77356697
10.89,341798.796219603
10.9,341768.813749142
10.91,341738.826152466
10.92,341708.833429245
10.93,341678.835571081
10.94,341648.83258147
10.95,341618.824459121
10.96,341588.811201134
10.97,341558.792796955
10.98,341528.769255481
10.99,341498.740570007
11,341468.706740137
11.01,341438.667758378
11.02,341408.623629939
11.03,341378.574348313
11.04,341348.5199082
11.05,341318.460314046
11.06,341288.395562938
11.07,341258.32564428
11.08,341228.250567346
11.09,341198.17032491
11.1,341168.084911502
11.11,341137.994330677
11.12,341107.898578625
11.13,341077.79765213
11.14,341047.691545333
11.15,341017.580263221
11.16,340987.463801812
11.17,340957.34215222
11.18,340927.215320793
11.19,340897.083305303
11.2,340866.94609848
11.21,340836.803701119
11.22,340806.656103223
11.23,340776.503318905
11.24,340746.345332943
11.25,340716.182144283
11.26,340686.013757785
11.27,340655.84016363
11.28,340625.661363522
11.29,340595.4773561
11.3,340565.288137382
11.31,340535.093706449
11.32,340504.894061082
11.33,340474.689195611
11.34,340444.479113819
11.35,340414.263809175
11.36,340384.043281343
11.37,340353.817525936
11.38,340323.586545935
11.39,340293.350337317
11.4,340263.108890625
11.41,340232.862217422
11.42,340202.61030236
11.43,340172.353150922
11.44,340142.090758671
11.45,340111.823124273
11.46,340081.550246432
11.47,340051.272116359
11.48,340020.988745721
11.49,339990.700118693
11.5,339960.406237258
11.51,339930.107105713
11.52,339899.802714269
11.53,339869.493064141
11.54,339839.178152599
11.55,339808.857975625
11.56,339778.532533999
11.57,339748.201823595
11.58,339717.865845193
11.59,339687.524592765
11.6,339657.178070584
11.61,339626.82626926
11.62,339596.469190996
11.63,339566.106830651
11.64,339535.739190641
11.65,339505.366266863
11.66,339474.988048826
11.67,339444.604548834
11.68,339414.215756962
11.69,339383.821674482
11.7,339353.422294123
11.71,339323.017615379
11.72,339292.607642368
11.73,339262.192365645
11.74,339231.771788186
11.75,339201.345903676
11.76,339170.914714859
11.77,339140.478211419
11.78,339110.036401756
11.79,339079.589277955
11.8,339049.136837438
11.81,339018.679081758
11.82,338988.216002692
11.83,338957.747602587
11.84,338927.273879144
11.85,338896.794832338
11.86,338866.310458026
11.87,338835.820754662
11.88,338805.325716785
11.89,338774.825345013
11.9,338744.31963989
11.91,338713.808596021
11.92,338683.292212994
11.93,338652.77048538
11.94,338622.243414429
11.95,338591.711001644
11.96,338561.173238224
11.97,338530.630123942
11.98,338500.081660228
11.99,338469.527838864
12,338438.968661606
12.01,338408.404132071
12.02,338377.834235451
12.03,338347.25897885
12.04,338316.678360544
12.05,338286.092372151
12.06,338255.501020669
12.07,338224.904297543
12.08,338194.30219774
12.09,338163.694728539
12.1,338133.081879486
12.11,338102.463657111
12.12,338071.84005397
12.13,338041.211063956
12.14,338010.576693567
12.15,337979.936937917
12.16,337949.291790663
12.17,337918.641253834
12.18,337887.985327708
12.19,337857.324003805
12.2,337826.657284823
12.21,337795.985171654
12.22,337765.307655066
12.23,337734.624740006
12.24,337703.936416411
12.25,337673.242685806
12.26,337642.543553971
12.27,337611.839006368
12.28,337581.129048329
12.29,337550.41367449
12.3,337519.692890957
12.31,337488.966684977
12.32,337458.23505963
12.33,337427.498011042
12.34,337396.755543774
12.35,337366.007646409
12.36,337335.254321491
12.37,337304.495569799
12.38,337273.73138868
12.39,337242.961766743
12.4,337212.186713509
12.41,337181.406219533
12.42,337150.620293103
12.43,337119.828919551
12.44,337089.032107745
12.45,337058.229848997
12.46,337027.422137019
12.47,336996.608984731
12.48,336965.79037845
12.49,336934.966317442
12.5,336904.136802459
12.51,336873.301833612
12.52,336842.461402916
12.53,336811.61551114
12.54,336780.764159234
12.55,336749.907339025
12.56,336719.045057341
12.57,336688.177305114
12.58,336657.30408047
12.59,336626.425386334
12.6,336595.541216656
12.61,336564.651573863
12.62,336533.756448424
12.63,336502.855848038
12.64,336471.949765036
12.65,336441.038197089
12.66,336410.121142436
12.67,336379.198597678
12.68,336348.270570281
12.69,336317.337049467
12.7,336286.398033277
12.71,336255.453523779
12.72,336224.503518271
12.73,336193.54801123
